 time_between_2_SV	 jitter
795	545.000000
66	184.000000
908	658.000000
84	166.000000
60	190.000000
828	578.000000
983	733.000000
65	185.000000
53	197.000000
26	224.000000
34	216.000000
32	218.000000
76	174.000000
1085	835.000000
286	36.000000
1324	1074.000000
957	707.000000
63	187.000000
28	222.000000
28	222.000000
840	590.000000
969	719.000000
95	155.000000
163	87.000000
727	477.000000
991	741.000000
94	156.000000
28	222.000000
37	213.000000
866	616.000000
70	180.000000
32	218.000000
163	87.000000
6519	6269.000000
65	185.000000
25	225.000000
26	224.000000
43	207.000000
786	536.000000
73	177.000000
123	127.000000
50	200.000000
115	135.000000
2316	2066.000000
51	199.000000
122	128.000000
113	137.000000
690	440.000000
39	211.000000
1919	1669.000000
999	749.000000
117	133.000000
856	606.000000
33	217.000000
25	225.000000
28	222.000000
1927	1677.000000
138	112.000000
1031	781.000000
1943	1693.000000
80	170.000000
132	118.000000
774	524.000000
96	154.000000
141	109.000000
798	548.000000
949	699.000000
99	151.000000
45	205.000000
887	637.000000
1863	1613.000000
1995	1745.000000
106	144.000000
59	191.000000
54	196.000000
778	528.000000
928	678.000000
125	125.000000
173	77.000000
70	180.000000
279	29.000000
1279	1029.000000
102	148.000000
65	185.000000
109	141.000000
81	169.000000
55	195.000000
202	48.000000
99	151.000000
254	4.000000
1971	1721.000000
1995	1745.000000
135	115.000000
70	180.000000
52	198.000000
1698	1448.000000
961	711.000000
115	135.000000
836	586.000000
1948	1698.000000
1977	1727.000000
138	112.000000
52	198.000000
58	192.000000
827	577.000000
895	645.000000
976	726.000000
5296	5046.000000
149	101.000000
76	174.000000
82	168.000000
251	1.000000
112	138.000000
102	148.000000
124	126.000000
425	175.000000
271	21.000000
1216	966.000000
138	112.000000
216	34.000000
338	88.000000
3364	3114.000000
142	108.000000
877	627.000000
383	133.000000
332	82.000000
546	296.000000
77	173.000000
831	581.000000
1261	1011.000000
108	142.000000
235	15.000000
217	33.000000
301	51.000000
323	73.000000
349	99.000000
163	87.000000
745	495.000000
602	352.000000
232	18.000000
650	400.000000
164	86.000000
80	170.000000
460	210.000000
757	507.000000
90	160.000000
93	157.000000
1800	1550.000000
1263	1013.000000
127	123.000000
882	632.000000
1899	1649.000000
120	130.000000
110	140.000000
109	141.000000
80	170.000000
94	156.000000
111	139.000000
80	170.000000
1267	1017.000000
1007	757.000000
375	125.000000
306	56.000000
2183	1933.000000
2042	1792.000000
187	63.000000
107	143.000000
197	53.000000
165	85.000000
969	719.000000
275	25.000000
71	179.000000
605	355.000000
127	123.000000
230	20.000000
340	90.000000
320	70.000000
688	438.000000
269	19.000000
140	110.000000
308	58.000000
124	126.000000
280	30.000000
2075	1825.000000
124	126.000000
2227	1977.000000
101	149.000000
81	169.000000
167	83.000000
87	163.000000
116	134.000000
190	60.000000
846	596.000000
1202	952.000000
129	121.000000
517	267.000000
2080	1830.000000
103	147.000000
53	197.000000
85	165.000000
82	168.000000
273	23.000000
100	150.000000
1122	872.000000
85	165.000000
78	172.000000
60	190.000000
67	183.000000
71	179.000000
112	138.000000
541	291.000000
110	140.000000
876	626.000000
921	671.000000
78	172.000000
69	181.000000
70	180.000000
73	177.000000
710	460.000000
1925	1675.000000
1963	1713.000000
1037	787.000000
156	94.000000
110	140.000000
646	396.000000
978	728.000000
61	189.000000
65	185.000000
52	198.000000
82	168.000000
53	197.000000
692	442.000000
1968	1718.000000
1903	1653.000000
49	201.000000
141	109.000000
813	563.000000
944	694.000000
53	197.000000
150	100.000000
58	192.000000
51	199.000000
713	463.000000
1912	1662.000000
947	697.000000
85	165.000000
2892	2642.000000
1966	1716.000000
50	200.000000
52	198.000000
120	130.000000
1715	1465.000000
1896	1646.000000
41	209.000000
53	197.000000
49	201.000000
48	202.000000
818	568.000000
1171	921.000000
61	189.000000
253	3.000000
57	193.000000
185	65.000000
192	58.000000
2186	1936.000000
988	738.000000
81	169.000000
747	497.000000
2059	1809.000000
61	189.000000
102	148.000000
839	589.000000
1953	1703.000000
56	194.000000
21	229.000000
22	228.000000
30	220.000000
23	227.000000
23	227.000000
818	568.000000
14376	14126.000000
80	170.000000
158	92.000000
118	132.000000
131	119.000000
108	142.000000
150	100.000000
205	45.000000
134	116.000000
98	152.000000
291	41.000000
36	214.000000
239	11.000000
79	171.000000
58	192.000000
118	132.000000
42	208.000000
313	63.000000
60	190.000000
224	26.000000
280	30.000000
129	121.000000
151	99.000000
58	192.000000
87	163.000000
62	188.000000
118	132.000000
181	69.000000
135	115.000000
81	169.000000
102	148.000000
109	141.000000
42	208.000000
239	11.000000
503	253.000000
460	210.000000
35	215.000000
42	208.000000
135	115.000000
52	198.000000
146	104.000000
104	146.000000
399	149.000000
392	142.000000
641	391.000000
257	7.000000
421	171.000000
126	124.000000
48	202.000000
51	199.000000
40	210.000000
42	208.000000
50	200.000000
66	184.000000
109	141.000000
401	151.000000
50	200.000000
146	104.000000
42	208.000000
33	217.000000
33	217.000000
34	216.000000
872	622.000000
126	124.000000
185	65.000000
109	141.000000
120	130.000000
184	66.000000
85	165.000000
440	190.000000
85	165.000000
151	99.000000
119	131.000000
258	8.000000
134	116.000000
84	166.000000
94	156.000000
124	126.000000
187	63.000000
147	103.000000
36	214.000000
50	200.000000
48	202.000000
44	206.000000
44	206.000000
88	162.000000
87	163.000000
57	193.000000
82	168.000000
117	133.000000
104	146.000000
46	204.000000
36	214.000000
131	119.000000
1070	820.000000
386	136.000000
963	713.000000
964	714.000000
78	172.000000
53	197.000000
32	218.000000
831	581.000000
32	218.000000
98	152.000000
1333	1083.000000
33	217.000000
98	152.000000
587	337.000000
118	132.000000
33	217.000000
97	153.000000
513	263.000000
979	729.000000
962	712.000000
65	185.000000
32	218.000000
876	626.000000
782	532.000000
118	132.000000
48	202.000000
1012	762.000000
975	725.000000
150	100.000000
322	72.000000
433	183.000000
70	180.000000
88	162.000000
890	640.000000
43	207.000000
1053	803.000000
116	134.000000
41	209.000000
130	120.000000
90	160.000000
205	45.000000
132	118.000000
56	194.000000
37	213.000000
148	102.000000
39	211.000000
115	135.000000
250	0.000000
492	242.000000
369	119.000000
641	391.000000
136	114.000000
48	202.000000
65	185.000000
248	2.000000
85	165.000000
283	33.000000
335	85.000000
801	551.000000
909	659.000000
52	198.000000
32	218.000000
859	609.000000
30	220.000000
1052	802.000000
245	5.000000
50	200.000000
706	456.000000
870	620.000000
810	560.000000
68	182.000000
81	169.000000
39	211.000000
35	215.000000
862	612.000000
965	715.000000
343	93.000000
658	408.000000
134	116.000000
696	446.000000
635	385.000000
309	59.000000
39	211.000000
27	223.000000
44	206.000000
135	115.000000
108	142.000000
125	125.000000
658	408.000000
1556	1306.000000
399	149.000000
589	339.000000
46	204.000000
330	80.000000
82	168.000000
38	212.000000
369	119.000000
504	254.000000
261	11.000000
129	121.000000
625	375.000000
40	210.000000
291	41.000000
49	201.000000
559	309.000000
48	202.000000
282	32.000000
63	187.000000
565	315.000000
73	177.000000
55	195.000000
212	38.000000
53	197.000000
582	332.000000
309	59.000000
43	207.000000
769	519.000000
818	568.000000
1002	752.000000
35	215.000000
143	107.000000
733	483.000000
65	185.000000
575	325.000000
398	148.000000
69	181.000000
44	206.000000
217	33.000000
45	205.000000
269	19.000000
214	36.000000
92	158.000000
259	9.000000
263	13.000000
450	200.000000
83	167.000000
71	179.000000
52	198.000000
258	8.000000
42	208.000000
518	268.000000
333	83.000000
920	670.000000
755	505.000000
111	139.000000
766	516.000000
146	104.000000
832	582.000000
1061	811.000000
54	196.000000
174	76.000000
46	204.000000
664	414.000000
629	379.000000
37	213.000000
815	565.000000
28	222.000000
425	175.000000
77	173.000000
48	202.000000
391	141.000000
477	227.000000
823	573.000000
669	419.000000
52	198.000000
27	223.000000
367	117.000000
134	116.000000
890	640.000000
351	101.000000
94	156.000000
